"Atlanta","Boston","Dallas","Indianapolis","Los Angeles","Memphis","St. Louis","Spokane","Tempa"
"Atlanta",0,1507900.94630489,1159704.99073137,688377.135147382,3113817.24510577,542451.974586257,752973.301879214,3155118.47626639,2547608.348093
"Boston",1507900.94630489,0,2495846.43608713,1297711.32886634,4174186.9920589,1827859.75472151,1668696.80332589,3640764.99260051,3687916.22920785
"Dallas",1159704.99073137,2495846.43608713,0,1230276.65557035,1993782.18004548,676683.785236929,882504.074146886,2397557.50688158,1412314.98547818
"Indianapolis",688377.135147382,1297711.32886634,1230276.65557035,0,2909400.69189036,618374.977912236,371031.080606639,2643472.56298799,2400271.19803999
"Los Angeles",3113817.24510577,4174186.9920589,1993782.18004548,2909400.69189036,0,2577747.51173245,2555283.02959914,1516213.53856989,587595.361836191
"Memphis",542451.974586257,1827859.75472151,676683.785236929,618374.977912236,2577747.51173245,0,387341.406256507,2655404.83139788,2018454.89637461
"St. Louis",752973.301879214,1668696.80332589,882504.074146886,371031.080606639,2555283.02959914,387341.406256507,0,2412717.93693328,2035540.43420799
"Spokane",3155118.47626639,3640764.99260051,2397557.50688158,2643472.56298799,1516213.53856989,2655404.83139788,2412717.93693328,0,1649911.90128781
"Tempa",2547608.348093,3687916.22920785,1412314.98547818,2400271.19803999,587595.361836191,2018454.89637461,2035540.43420799,1649911.90128781,0
